ZIP,m Count,health,living condition ,noise,others,property,social assistance,transportation
10001,1390,4,4,7,0,4,0,7
10002,1026,4,10,17,3,12,1,5
10003,856,5,7,16,6,12,2,11
10004,91,1,2,0,0,0,0,1
10005,57,0,0,2,0,2,0,1
10006,44,1,1,1,0,1,0,0
10007,268,0,1,0,0,2,0,2
10009,575,1,10,12,1,0,5,5
10010,300,4,1,3,4,3,3,3
10011,635,2,5,5,7,16,4,8
10012,596,1,6,9,2,3,2,6
10013,518,3,4,3,1,7,0,5
10014,414,1,4,7,0,7,0,9
10016,468,2,7,11,1,6,3,7
10017,243,2,0,1,0,4,0,6
10018,450,4,3,2,1,2,0,8
10019,654,4,4,12,1,15,1,6
10021,148,1,6,1,4,8,1,9
10022,430,2,6,6,2,7,2,8
10023,521,1,2,3,4,2,13,6
10024,367,2,3,4,2,13,6,6
10025,693,4,5,13,0,9,6,6
10026,512,3,3,5,2,2,3,3
10027,1255,1,6,12,3,2,2,5
10028,228,3,3,2,2,5,2,6
10029,1339,1,2,13,1,3,2,4
10030,440,0,3,10,0,1,2,0
10031,812,2,3,17,2,1,6,4
10032,556,2,4,23,1,3,4,3
10033,421,1,6,8,1,3,4,3
10034,395,1,4,6,1,0,2,0
10035,1072,5,6,2,0,5,1,3
10036,922,6,3,7,2,2,0,7
10037,490,0,4,6,0,1,4,1
10038,162,4,1,10,0,6,1,3
10039,408,0,1,6,3,0,0,1
10040,302,0,1,11,0,4,4,3
10065,236,2,3,6,0,9,1,4
10069,7,0,0,0,0,2,0,0
10075,82,2,4,4,2,6,0,4
10128,243,0,5,6,2,8,5,3
10280,16,1,1,1,2,5,0,2
