R2_lm,R2_rf
-9.786660906,-5.304526271
-5.65933218,-4.872278089
-5.463345059,-3.989606249
-4.966560096,-3.151373286
-4.761281258,-3.111589287
-4.410431493,-3.085581871
-4.269889249,-2.963938426
-4.122964743,-2.674670506
-4.066353965,-2.515276418
-3.698476268,-2.503364704
-3.57775116,-2.482212217
-3.569946969,-2.47106148
-3.477539729,-2.380875833
-3.255465098,-2.340971112
-3.150260042,-2.28095432
-3.145639623,-2.268894087
-3.125798523,-1.961674662
-3.067262282,-1.952621012
-2.944711965,-1.757927548
-2.92472311,-1.734117648
-2.8541746,-1.686458274
-2.850543957,-1.668474523
-2.821192779,-1.504308682
-2.764395664,-1.450040642
-2.759301432,-1.444166934
-2.676925018,-1.444067306
-2.623822067,-1.382258978
-2.598634575,-1.342848158
-2.577784757,-1.324546304
-2.543227146,-1.30864338
-2.485243588,-1.305444963
-2.457367451,-1.285214429
-2.352209771,-1.280240687
-2.24984239,-1.269683336
-2.23369136,-1.254062196
-2.20426867,-1.231058651
-2.101098944,-1.218812517
-2.047839908,-1.176520271
-1.993850984,-1.160027894
-1.985429523,-1.127717876
-1.921353055,-1.106150925
-1.872180153,-1.090132837
-1.839835946,-1.062775642
-1.817157016,-1.05219273
-1.692524276,-1.018188084
-1.683422638,-1.012373764
-1.646669774,-0.983068715
-1.623680244,-0.982860717
-1.612384955,-0.961952747
-1.607916932,-0.960956158
-1.578090007,-0.946767657
-1.562651458,-0.929654723
-1.532391098,-0.926347134
-1.525865398,-0.912986839
-1.513624525,-0.892375897
-1.485554792,-0.884419126
-1.485208276,-0.883154773
-1.44195515,-0.882904539
-1.41985287,-0.881532194
-1.417652744,-0.869759514
-1.357556269,-0.86909736
-1.346732008,-0.86199254
-1.334169205,-0.86004734
-1.322067771,-0.854742001
-1.317518892,-0.846151482
-1.308941914,-0.834278441
-1.306006106,-0.825963502
-1.287603261,-0.82560739
-1.260347073,-0.816683093
-1.258975052,-0.803592831
-1.252579132,-0.799143762
-1.249505234,-0.794302383
-1.233236823,-0.787769324
-1.214600914,-0.774986757
-1.206731306,-0.756000851
-1.201868628,-0.743192768
-1.198109423,-0.731442002
-1.192318138,-0.731105487
-1.178215491,-0.72435627
-1.16518151,-0.722684546
-1.164896967,-0.722515272
-1.162397151,-0.720852963
-1.162113979,-0.713357309
-1.153131665,-0.698306906
-1.150017893,-0.694564518
-1.13592373,-0.692877314
-1.129020597,-0.691447723
-1.126332325,-0.680988666
-1.1032922,-0.67637978
-1.101607518,-0.671792599
-1.094819598,-0.670102166
-1.090132034,-0.663945691
-1.083662269,-0.659563025
-1.06868551,-0.654164343
-1.065973624,-0.626569096
-1.064796543,-0.601951562
-1.057663593,-0.59341424
-1.048495486,-0.5863135
-1.043413572,-0.583629218
-1.043264748,-0.578030038
-1.034941878,-0.566589511
-1.028849833,-0.556590627
-1.027975296,-0.539031418
-1.010558379,-0.528160164
-1.002055222,-0.514875051
-1.000916838,-0.507283445
-0.998525107,-0.506652063
-0.991143717,-0.505162815
-0.98897087,-0.498383611
-0.985293529,-0.496889253
-0.974139087,-0.490509656
-0.964707437,-0.486936166
-0.962507979,-0.472251902
-0.956532259,-0.471023277
-0.940686214,-0.469547566
-0.921732914,-0.467025515
-0.896877525,-0.460982803
-0.893863969,-0.45473297
-0.89290771,-0.451808683
-0.890696275,-0.439860151
-0.850018535,-0.438635826
-0.848904798,-0.433084337
-0.813793502,-0.4315286
-0.810598143,-0.431095576
-0.809666116,-0.429397168
-0.805625916,-0.428670172
-0.804563433,-0.426415682
-0.803853856,-0.421883198
-0.80176422,-0.420177681
-0.799301839,-0.417603517
-0.794762715,-0.416508805
-0.793435778,-0.41604555
-0.787368729,-0.414467541
-0.787013096,-0.412109812
-0.77886746,-0.407155819
-0.775529234,-0.405756813
-0.768577071,-0.405542703
-0.762428649,-0.39737206
-0.74873115,-0.394161062
-0.725939739,-0.39258337
-0.725395559,-0.391919581
-0.711461477,-0.383673404
-0.703116449,-0.383097812
-0.702578358,-0.380748219
-0.702041993,-0.372085615
-0.687542902,-0.365256918
-0.681881342,-0.360706421
-0.677663672,-0.360496474
-0.6711255,-0.355296657
-0.665526548,-0.352359066
